id	mimNumber	preferredTitle	growthExists	growthHeightExists	growWeightExists	growthOtherExists	headAndNeckExists	headAndNeckHeadExists	headAndNeckFaceExists	headAndNeckEarsExists	headAndNeckEyesExists	headAndNeckNoseExists	headAndNeckMouthExists	headAndNeckTeethExists	headAndNeckNeckExists	respiratoryExists	respiratoryNasopharynxExists	respiratoryLarynxExists	respiratoryAirwaysExists	respiratoryLungExists	chestExists	chestExternalFeuturesExists	chestRibsSternumClaviclesAndScapulaeExists	chestBreastExists	chestDiaphragmExists	genitourinaryExists	genitourinaryExternalGenitaliaMaleExists	genitourinaryExternalGenitaliaFemaleExists	genitourinaryInternalGenitaliaMaleExists	genitourinaryInternalGenitaliaFemaleExists	genitourinaryKidneysExists	genitourinaryUretersExists	genitourinaryBladderExists	skeletalExists	skeletalSkullExists	skeletalSpineExists	skeletalPelvisExists	skeletalLimbsExists	skeletalHandsExists	skeletalFeetExists	skinNailsHairExists	skinNailsHairSkinExists	skinNailsHairSkinHistologyExists	skinNailsHairSkinElectronMicroscopyExists	skinNailsHairNailsExists	skinNailsHairHairExists	muscleSoftTissueExists	abdomenExists	abdomenExternalFeaturesExists	abdomenLiverExists	abdomenPancreasExists	abdomenBiliaryTractExists	abdomenGastrointestinalExists	abdomenSpleenExists	voiceExists	metabolicFeaturesExists	endocrineFeaturesExists	hematologyExists	immunologyExists	neoplasiaExists	prenatalManifestationsExists	prenatalManifestationsMovementExists	prenatalManifestationsAmnioticFluidExists	prenatalManifestationsPlacentaAndUmbilicalCordExists	prenatalManifestationsMaternalExists	prenatalManifestationsDeliveryExists	laboratoryAbnormalitiesExists	miscellaneousExists	molecularBasisExists	neurologicExists	neurologicCentralNervousSystemExists	neurologicPeripheralNervousSystemExists	neurologicBehavioralPsychiatricManifestationsExists	Sympton	Disease
1	300000	"OPITZ GBBB SYNDROME, TYPE I; GBBB1"	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	"Prominent forehead   ; Flat philtrum   Hypertelorism      ; Telecanthus    Broad nasal bridge    ; Anteverted nares    ; Grooved nasal tip Cleft lip     ; Cleft palate  ; High-arched palate    ; Thin upper lip  Posterior pharyngeal cleft  Aspiration  Hypospadias     Cryptorchidism     Widow's peak   Dysphagia     ; Gastroesophageal reflux  ; Imperforate anus    Genetic heterogeneity (see ) Caused by mutations in the midline 1 gene (MID1, )Developmental delay   ; Agenesis of corpus callosum    "	Yes
2	145410	"OPITZ GBBB SYNDROME, TYPE II; GBBB2"	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	"Cranial asymmetry  Micrognathia    ; Flat philtrum   ; Prominent forehead   Posteriorly rotated auricles   ; Conductive hearing loss     Telecanthus    ; Epicanthal folds  ; Hypertelorism      ; Strabismus  ; Downslanting palpebral fissures   Broad, flat nasal bridge Cleft lip     ; Cleft palate  ; High-arched palate    ; Short lingual frenulum   ; Bifid uvula     ; Thin upper lip  Tracheoesophageal fistula    ; Aspiration  Pulmonary hypoplasia   Hypospadias (in some patients) ; Bifid scrotum   Splayed posterior labia majora Cryptorchidism     Renal anomalies    Ureteral anomalies  Craniosynostosis (in some patients)  Widow's peak   Agenesis of the gallbladder    Hiatal hernia   ; Diastasis recti   ; Imperforate anus    ; Dysphagia     Weak, hoarse cry Onset in infancy  ; Can also be caused by contiguous gene deletion on chromosome 22q11.2Caused by mutation in the sperm antigen with calponin homology and coiled-coil domains 1-like gene (SPECC1L, )Mental retardation    ; Developmental delay   ; Agenesis of corpus callosum    ; Hypotonia   ; Cerebellar vermal hypoplasia  ; Cortical atrophy   ; Ventriculomegaly  ; Widened cavum septum pellucidum  "	Yes
3	300004	"CORPUS CALLOSUM, AGENESIS OF, WITH ABNORMAL GENITALIA"	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	"Short stature  Microcephaly      ; Prominent supraorbital ridges   Coarse facies  Prominent ears    ; Auditory impairment Large eyes  ; Synophrys    ; Optic atrophy     ; Visual impairment   ; Nystagmus  ; Strabismus  High-arched palate    Cryptorchidism     ; Hypospadias     Small kidney (reported in 1 patient) Contractures    Scoliosis   Tapered digits Tapered digits ; Overlapping toes    Hyperconvex nails  Low anterior hairline   ; Hirsutism     ; Synophrys    Some females are affected Caused by mutation in the X-linked aristaless-related homeobox gene (ARX, )Mental retardation, severe     ; Developmental delay, severe ; Neonatal hypotonia   ; Agenesis of the corpus callosum    ; Spastic quadriplegia, progressive ; Seizures, infantile onset "	Yes
4	300472	"CORPUS CALLOSUM, AGENESIS OF, WITH MENTAL RETARDATION, OCULAR COLOBOMA, AND MICROGNATHIA"	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	"Short stature  Macrocephaly    High forehead   ; Retrognathia   Low-set ears    ; Cupped ears  ; Sensorineural hearing loss     Coloboma (iris or optic nerve)  ; Impaired vision   ; Downslanting palpebral fissures   High-arched palate    Short neck    ; Broad neck   Pectus excavatum   Scoliosis   Caused by mutation in the immunoglobulin-binding protein-1 gene (IGBP1, )Agenesis of the corpus callosum    ; Mental retardation    "	Yes
5	217980	"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE"	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	"Poor growth, postnatal Microcephaly      Robin sequence    ; Micrognathia    ; Full cheeks   Dysplastic ears  ; Hearing loss, sensorineural and conductive  Hypertelorism      ; Short palpebral fissures   ; Ptosis    Depressed nasal bridge   ; Small nose    Cleft palate  ; Downturned corners of mouth   Short neck    ; Excess skin of the neckRespiratory distress, neonatal  Laryngeal hypoplasia    Tracheomalacia   ; Tracheal stenosis, congenitalAbnormal rib numberHypospadias     ; Genital hypoplasia Cryptorchidism     Large anterior fontanel  Brachydactyly    ; Clinodactyly    ; Proximally placed thumbs  ; Syndactyly   Anal abnormalities; Anteriorly placed anus  Multiple congenital anomalies  ; Features are highly variable; Some features not found in all patientsMental retardation    ; Hypotonia   ; Hypoplasia or agenesis of the corpus callosum; Cerebellar hypoplasia   "	Yes
6	616819	"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND CEREBELLAR ATAXIA; CCAFCA"	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	"Poor overall growth Microcephaly, congenital Bitemporal narrowing   Low-set ears    ; Posteriorly rotated ears   ; Protruding ears  Strabismus  ; Puffy eyelids   ; Thick, arched eyebrows ; Long eyelashes   Anteverted nares    Protruding lower lip  Hirsutism     ; Low anterior hairline   Hypertonia in infancyOne consanguineous Israeli Bedouin kindred has been reported (last curated February 2016)Caused by mutation in the FERM domain-containing protein 4A gene (FRMD4A, )Delayed psychomotor development, severe ; Mental retardation    ; Poor or absent speech ; Cerebellar ataxia   ; Uncoordinated hand movements; Cerebellar hypoplasia   ; Full or partial agenesis of the corpus callosum"	Yes
7	300009	"DENT DISEASE 1"	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	"Short stature  Poor growth  Proximal renal tubule defect  ; Decreased renal tubular phosphate reabsorption  ; Nephrocalcinosis   ; Nephrolithiasis    ; Renal insufficiency, progressive  ; Renal failure in adulthood  Rickets (in approximately 33% of patients)  ; Osteomalacia  ; Increased fractures  ; Bone pain  ; Sparse bone trabeculae  ; Thin bony cortex  Delayed opacification of the epiphyses  ; Widened, distorted epiphyses  ; 'Bulging' epiphyses ; Frayed, irregular metaphyses  ; Lower limb deformities   ; Bowing of the legs    ; Curvatures of the femur, tibia, fibula ; Enlargement of the wrists  ; Enlargement of the ankles  Low-molecular-weight proteinuria  ; Hypercalciuria   ; Hypophosphatemia  ; Hyperphosphaturia  ; Aminoaciduria   ; Glycosuria     ; Microscopic hematuria    ; Appropriately increased serum 1,25-dihydroxyvitamin D3 Variable phenotypic severity  ; Female carriers may have asymptomatic proteinuria, hypercalciuria, or hypophosphatemia only ; Part of 'Dent disease complex' ; See also X-linked nephrocalcinosis (), X-linked recessive hypophosphatemic rickets (), and low-molecular-weight proteinuria with nephrocalcinosis (); See also Dent disease 2 ()Caused by mutation in the chloride channel 5 gene (CLCN5, )"	Yes
8	300833	"46,XX SEX REVERSAL 3; SRXX3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Normal-appearing male external genitalia in 46,XX individuals Caused by duplications or deletions on Xq26 involving the Sry-box 3 gene (SOX3, )"	Yes
9	278850	"46,XX SEX REVERSAL 2; SRXX2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	"Phenotypically normal male (in some patients); Perineal hypospadias    ; Small penis     ; Asymmetric scrotum; Hypoplastic scrotum   ; Bifid scrotum   Normal to small testes (in some patients); Ovotestis (in some patients) ; Azoospermia     ; Leydig cells present; Sertoli cells present; Atrophic seminiferous tubules ; No spermatogenesis; Epididymal structuresFallopian tube structures; Streak gonad  ; Ovarian remnant; Primordial oocytes; Primordial follicles; Rudimentary vagina  ; Rudimentary uterus     Normal skeletal developmentLow serum testosterone levels ; Elevated follicle-stimulating hormone (FSH) levels; Elevated luteinizing hormone (LH) levels; Low anti-Mullerian hormone (AMH) levels46,XY carriers are unaffectedCaused by duplication or triplication of a 68-kb regulatory region (XXSR) -584 to -516 kb upstream of the SRY-box-9 gene (SOX9, )"	Yes
10	613080	"46,XY SEX REVERSAL 5; SRXY5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	"Normal female external genitaliaNormal vagina  ; Normal cervix; Normal uterus  ; Normal ovaries with primordial folliclesAbsent anti-Mullerian hormone; Low basal testosterone; Elevated FSH levels; Normal LH levels; Normal basal plasma cortisol46,XY karyotype (determined prenatally and confirmed postnatally)One patient has been described (last curated January 2016)Caused by mutation in the chromobox homolog 2, Drosophila Polycomb class gene (CBX2, )"	Yes
